Value,Byte1,Byte2,IANA,DTLS?,Reference,OpenSSL,Version,Kx,Au,Enc,Mac,Export?
"0x00,0x00",0x00,0x00,TLS_NULL_WITH_NULL_NULL,true,[RFC5246],,,,,,,
"0x00,0x01",0x00,0x01,TLS_RSA_WITH_NULL_MD5,true,[RFC5246],,,,,,,
"0x00,0x02",0x00,0x02,TLS_RSA_WITH_NULL_SHA,true,[RFC5246],,,,,,,
"0x00,0x03",0x00,0x03,TLS_RSA_EXPORT_WITH_RC4_40_MD5,false,[RFC4346][RFC6347],EXP-RC4-MD5,SSLv3,RSA(512),RSA,RC4(40),MD5,true
"0x00,0x04",0x00,0x04,TLS_RSA_WITH_RC4_128_MD5,false,[RFC5246][RFC6347],RC4-MD5,SSLv3,RSA,RSA,RC4(128),MD5,false
"0x00,0x05",0x00,0x05,TLS_RSA_WITH_RC4_128_SHA,false,[RFC5246][RFC6347],RC4-SHA,SSLv3,RSA,RSA,RC4(128),SHA1,false
"0x00,0x06",0x00,0x06,TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5,true,[RFC4346],EXP-RC2-CBC-MD5,SSLv3,RSA(512),RSA,RC2(40),MD5,true
"0x00,0x07",0x00,0x07,TLS_RSA_WITH_IDEA_CBC_SHA,true,[RFC5469],,,,,,,
"0x00,0x08",0x00,0x08,TLS_RSA_EXPORT_WITH_DES40_CBC_SHA,true,[RFC4346],EXP-DES-CBC-SHA,SSLv3,RSA(512),RSA,DES(40),SHA1,true
"0x00,0x09",0x00,0x09,TLS_RSA_WITH_DES_CBC_SHA,true,[RFC5469],DES-CBC-SHA,SSLv3,RSA,RSA,DES(56),SHA1,false
"0x00,0x0A",0x00,0x0A,TLS_RSA_WITH_3DES_EDE_CBC_SHA,true,[RFC5246],DES-CBC3-SHA,SSLv3,RSA,RSA,3DES(168),SHA1,false
"0x00,0x0B",0x00,0x0B,TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA,true,[RFC4346],,,,,,,
"0x00,0x0C",0x00,0x0C,TLS_DH_DSS_WITH_DES_CBC_SHA,true,[RFC5469],,,,,,,
"0x00,0x0D",0x00,0x0D,TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA,true,[RFC5246],,,,,,,
"0x00,0x0E",0x00,0x0E,TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA,true,[RFC4346],,,,,,,
"0x00,0x0F",0x00,0x0F,TLS_DH_RSA_WITH_DES_CBC_SHA,true,[RFC5469],,,,,,,
"0x00,0x10",0x00,0x10,TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA,true,[RFC5246],,,,,,,
"0x00,0x11",0x00,0x11,TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA,true,[RFC4346],EXP-EDH-DSS-DES-CBC-SHA,SSLv3,DH(512),DSS,DES(40),SHA1,true
"0x00,0x12",0x00,0x12,TLS_DHE_DSS_WITH_DES_CBC_SHA,true,[RFC5469],EDH-DSS-DES-CBC-SHA,SSLv3,DH,DSS,DES(56),SHA1,false
